"model","n","dcor_age_residual","dcov_statistic","dcov_p","residual_sd","aic","r_squared"
"linear_conditional_sem",3000,0.128575694510811,74.6956814196404,0.001,0.342468967622553,2091.18564732798,0.0520887081162402
"quadratic_conditional_sem",3000,0.0633513245177242,17.4137672966345,0.001,0.331410603569438,1896.24796323573,0.11231640994342
"spline_sensitivity",3000,0.0484229215167,10.1260361953034,0.022,0.32933968968624,1864.08437851392,0.121734646913027
