n,nvars,SEM_p,Row_distance_AD_p,Marginal_AD_p,Energy_MVN_p,Global_dHSIC_p,Pairwise_dCov_p
100,4,0.064,0.002,0,0.066,0.032,0.012
100,8,0.088,0,0,0.036,0.05,0
500,4,0.074,0,0,0.038,0.026,0.016
500,8,0.052,0,0,0.052,0.044,0
