"case","row_distance","reference_quantile"
1,4.78034343851865,0.00733370595081812
2,3.78605428287626,0.0152789672432429
3,2.45448127399726,0.02150469848865
4,3.38896176779631,0.0269416158171387
5,1.8126459063839,0.0318871318893393
6,2.18354300854858,0.0364849838900859
7,4.09833118152574,0.040818481182559
8,2.55771075021537,0.0449413389572492
9,0.173185585575959,0.0488907352534077
10,1.75310038165168,0.0526937435571672
11,0.448944850853067,0.0563708489772884
12,1.31696542592889,0.0599380228479966
13,0.635123206693177,0.063408020872211
14,2.74810525554307,0.0667912342645578
15,3.55596040125725,0.0700962694842901
16,3.47985925401943,0.0733303558184393
17,2.31947268241205,0.0764996397158342
18,4.09077222304223,0.07960940227572
19,1.78221244250719,0.0826642231846571
20,2.07186706226373,0.0856681064595826
21,6.29451747491326,0.0886245783905861
22,4.47289393374217,0.091536764880849
23,11.9451289070501,0.094407453270609
24,1.96416566788031,0.0972391423064502
25,0.219487842212018,0.100034082934703
26,8.00677167193057,0.102794311908118
27,0.459510931196916,0.105521679702939
28,2.64032694181724,0.108217873887045
29,2.68769829532916,0.110884438818167
30,6.5190881984483,0.113522792356514
31,4.73344624868601,0.116134240129766
32,0.786365418647863,0.118719987777045
33,2.33953738635247,0.121281151513002
34,0.799986262442636,0.123818767286862
35,0.438882709798145,0.126333798759496
36,3.87648015021619,0.128827144280736
37,6.82046186836035,0.13129964301675
38,3.09366839599819,0.133752080351355
39,0.881047705867709,0.136185192664292
40,4.45644315418433,0.138599671572579
41,10.6895609326415,0.140996167707273
42,2.35323012958172,0.143375294086709
43,6.57559996045203,0.145737629137964
44,1.92444926564751,0.148083719410611
45,1.23519156435501,0.150414082020434
46,2.57210649665809,0.152729206855393
47,10.6615581708789,0.15502955857169
48,3.34769313842812,0.157315578403951
49,3.34194157765588,0.159587685810381
50,0.905464210721615,0.161846279971009
51,4.47240261815276,0.164091741154834
52,7.63616284783932,0.166324431969702
53,8.81831121193041,0.168544698507042
54,12.0499184304757,0.170752871392137
55,3.94722727121539,0.172949266749328
56,3.88308042239063,0.175134187090486
57,4.51668507312179,0.177307922134098
58,5.24388927467307,0.179470749561528
59,3.68843381691094,0.181622935716274
60,2.54851334195362,0.183764736251405
61,1.39469028628493,0.185896396729836
62,1.02018982751801,0.18801815318158
63,7.38593696929594,0.190130232621722
64,0.972194305345123,0.19223285353245
65,2.4476652137766,0.194326226312183
66,2.48128166287127,0.196410553694483
67,3.72059574948189,0.198486031139248
68,6.43895621350976,0.200552847198381
69,2.15743715676264,0.202611183857966
70,5.48380231347181,0.204661216858771
71,3.01216883043099,0.206703115996751
72,1.28560737276353,0.20873704540506
73,2.48041470244067,0.21076316381894
74,0.838658388418878,0.212781624824776
75,2.73054733984524,0.214792577094425
76,1.94167731919102,0.216796164605921
77,10.6321167110574,0.21879252685147
78,3.00487072973131,0.220781799033665
79,5.28124998809284,0.222764112250699
80,1.58600073580899,0.224739593671347
81,0.607351107763459,0.226708366700385
82,3.55054586234554,0.228670551135099
83,6.47991777675144,0.230626263313448
84,6.93870549954717,0.232575616254437
85,0.766054049548599,0.234518719791186
86,2.64324602307121,0.236455680697168
87,1.31031056420648,0.238386602806031
88,5.73610231823923,0.240311587125406
89,3.35418773315216,0.242230731945067
90,7.94746098466417,0.244144132939785
91,1.3586939281023,0.246051883267191
92,2.0458450328356,0.247954073660937
93,2.88171918392886,0.249850792519446
94,0.735200290704545,0.251742125990482
95,3.29075879038881,0.2536281580518
