"candidate","source","n","p","chisq","df","sem_p","cfi","rmsea","srmr","global_distribution_p","global_independence_p","row_distance_p","marginal_min_padj","top_pair","top_pair_dcor","top_pair_p","note"
"WageLogPath","ISLR2::Wage",3000,4,7.99360577730113e-12,0,NA,0.999999999999991,0,7.92919618590984e-09,0,0.005,1.99999999894729e-07,7.99999999578915e-07,"logwage--education_num",0.191404791255451,0.005,"Observed-variable path model; saturated for linear mean/covariance, targeted at nonlinear age-wage residual dependence."
"NHANESBpPath","NHANES::NHANES adults",6794,7,2.41371367337706e-11,0,NA,0.999999999999995,0,6.89624329237187e-09,0,0.005,8.83132175166779e-08,6.18192522616745e-07,"Age--BPDiaAve",0.143314658380818,0.005,"Observed-variable health path model; saturated linear covariance baseline, targeted at nonlinear age/BMI/blood-pressure structure."
"MSQAffectCfa","psychTools::msq",1997,16,857.565085325311,98,0,0.958473198153528,0.0622989068819374,0.0521016585413573,0,0.005,3.00450675894126e-07,4.80721081430602e-06,"nervous--scared",0.515255172120949,0.005,"Affect-item CFA; likely local dependence and floor/skew structure rather than clean nonlinear cross-variable dependence."
"SPIBigFiveCfa","psychTools::spi",4000,15,889.7203153779,80,0,0.961252774398605,0.0503028427184383,0.042847410376873,0,0.005,1.49999999976558e-07,2.24999999964837e-06,"q_90--q_1763",0.300127166019275,0.005,"Personality-item CFA; strong N and fit, but top dependence may be same-facet local item dependence."
